Year,AnnualExpenditure,Scientists and engineers,UK Gov,European Commission grants,Other Overseas,Other UK Business,Own funds,"Non-Profit and 
 Higher Education Est",United Kingdom,England,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Northern Ireland
2009,15500000000,85000,1320000000,47000000,3411000000,698000000,10047000000,4000000,15532000000,14360000000,315000000,1926000000,454000000,992000000,847000000,3810000000,907000000,3760000000,1350000000,243000000,631000000,297000000
2010,16000000000,87000,1410000000,62000000,3727000000,718000000,10129000000,3000000,16045000000,14868000000,308000000,2074000000,488000000,1140000000,886000000,3850000000,877000000,3800000000,1450000000,234000000,619000000,324000000
2011,17500000000,90000,1510000000,55000000,3884000000,595000000,11283000000,122000000,17452000000,16151000000,259000000,2220000000,550000000,1150000000,1280000000,3640000000,1120000000,4580000000,1360000000,252000000,697000000,352000000
2012,17400000000,92000,1430000000,55000000,3796000000,344000000,11696000000,88000000,17409000000,16017000000,282000000,1781000000,600000000,1220000000,1460000000,3610000000,1570000000,4130000000,1370000000,268000000,709000000,415000000
2013,18600000000,98000,1850000000,65000000,3826000000,364000000,12407000000,107000000,18617000000,17009000000,323000000,1835000000,660000000,1340000000,1680000000,4140000000,1290000000,4290000000,1450000000,367000000,801000000,441000000
2014,20000000000,103000,1890000000,64000000,3996000000,391000000,13515000000,129000000,19982000000,18281000000,282000000,1913000000,700000000,1470000000,1920000000,4090000000,1720000000,4610000000,1560000000,386000000,957000000,359000000
2015,21000000000,107000,1820000000,67000000,3734000000,384000000,14805000000,211000000,21018000000,19196000000,306000000,2115000000,768000000,1530000000,2160000000,4200000000,1880000000,4770000000,1480000000,368000000,953000000,501000000
2016,22600000000,112000,1700000000,93000000,3439000000,507000000,16598000000,244000000,22580000000,20607000000,312000000,2389000000,771000000,1680000000,2350000000,4520000000,2350000000,4730000000,1520000000,440000000,1050000000,481000000
2017,23700000000,114000,1760000000,52000000,3464000000,572000000,17681000000,145000000,23669000000,21490000000,388000000,2183000000,937000000,1520000000,2470000000,4680000000,2790000000,4860000000,1660000000,421000000,1250000000,508000000
2018,25200000000,124000,1710000000,75000000,3677000000,543000000,19079000000,107000000,25192000000,22873000000,444000000,2027000000,925000000,1770000000,2750000000,5210000000,2970000000,5030000000,1750000000,431000000,1360000000,524000000
2019,26000000000,135000,1830000000,62000000,3906000000,545000000,19591000000,104000000,26037000000,23537000000,415000000,1984000000,1020000000,1940000000,2370000000,5420000000,3250000000,5300000000,1840000000,463000000,1440000000,603000000
2020,26900000000,143000,2080000000,52000000,3871000000,554000000,20252000000,125000000,26937000000,24393000000,444000000,2035000000,1070000000,1950000000,2260000000,5850000000,3380000000,5500000000,1910000000,494000000,1440000000,614000000
